units that have a private room	SW.filter ( SW.filter entity-en.housing_unit string-has_private_room ) string-has_private_room
find housing units with size lesser than that of e0	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-size  string-< ( SW.ensureNumericEntity SW.getProperty e0 string-size  )
what day did e0 become available	SW.getProperty e0 string-posting_date
what is the rent of e0	SW.getProperty e0 string-rent
housing that is at least 1500month	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-rent  string->= ( SW.ensureNumericEntity number1500 en.dollar )
find housing units that are same as or lesser than the size of e0	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-size  string-<= ( SW.ensureNumericEntity SW.getProperty e0 string-size  )
housing unit sizes on e0	SW.filter entity-en.housing_unit string-size string-= SW.getProperty e0 string-size
housing that is smaller than 800 square feet or smaller than 1000 square feet	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-size  string-< ( SW.ensureNumericEntity SW.concat )
seeking e0 between 1500 and 2000	SW.concat
list all housing types that are not the same as those in e0	SW.filter entity-en.housing SW.reverse string-housing_type string-!= e0
find housing unit with posting date between january 2nd or february 3rd	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-posting_date  string-< ( SW.ensureNumericEntity SW.concat )
housing unit with a post date earlier than d0	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-posting_date  string-< ( SW.ensureNumericEntity d0 )
e0 housing that was posted on d1	SW.filter ( SW.filter entity-en.housing_unit string-posting_date string-= d1 ) string-housing_type string-= e0
what is the average size of an e0	string-avg SW.getProperty entity-en.housing_unit string-size
housing that was posted d0 or later	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-posting_date  string->= ( SW.ensureNumericEntity d0 )
what housing unit posted on jan 2 has a monthly rent of 1500 dollars	SW.filter ( SW.filter entity-en.housing_unit string-posting_date string-= date:2015:1:2 ) string-rent string-= number1500 en.dollar
housing that has at least two types	SW.countComparative entity-en.housing_unit string-housing_type string->= number2
what is the monthly rent of this e0	string-sum SW.getProperty entity-en.housing_unit string-rent
find housing units that are posted on the date same as e0 or later	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-posting_date  string->= ( SW.ensureNumericEntity SW.getProperty e0 string-posting_date  )
800 square foot e0 in e0	SW.filter ( SW.filter entity-en.housing_unit string-neighborhood string-= e0 ) string-size string-= number800 en.square_feet
what housing using posted on jan 2 has a private bath	SW.filter ( SW.filter entity-en.housing_unit string-has_private_bath ) string-posting_date string-= date:2015:1:2
which housing unit is posted before  the posting date of e0	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-posting_date  string-< ( SW.ensureNumericEntity SW.getProperty e0 string-posting_date  )
what kind of housing type is the only of its kind	SW.countComparative entity-en.housing SW.reverse string-housing_type string-< number2 entity-en.housing_unit
housing unit with a posting date at the latest d0	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-posting_date  string-<= ( SW.ensureNumericEntity d0 )
which housing unit has a lesser monthly rent than e0	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-rent  string-< ( SW.ensureNumericEntity SW.getProperty e0 string-rent  )
housing unit for rent posted on d0	SW.filter entity-en.housing_unit string-rent string-= ( SW.filter entity-en.housing_unit string-posting_date string-= d0 )
what housing unit has two housing types	SW.countComparative entity-en.housing_unit string-housing_type string-= number2
e0 with a private bath that allow dogs	SW.filter ( SW.filter entity-en.housing_unit string-allows_dogs ) string-has_private_bath
find housing units that is not an e0	SW.filter entity-en.housing_unit string-housing_type string-!= e0
what housing unit posted on jan 2 is the same kind as e0	SW.filter ( SW.filter entity-en.housing_unit string-posting_date string-= date:2015:1:2 ) SW.reverse string-housing_type string-= e0
which neighborhood has under two housing units	SW.countComparative entity-en.neighborhood SW.reverse string-neighborhood string-< number2 entity-en.housing_unit
what e0 costs 1500 dollars	SW.filter ( SW.filter entity-en.housing_unit string-housing_type string-= e0 ) string-rent string-= number1500 en.dollar
what are housing types found in the neighborhoods of e0	SW.filter entity-en.housing SW.reverse string-housing_type string-= ( SW.filter entity-en.housing_unit string-neighborhood string-= e0 )
housing that was posted on d0	SW.filter entity-en.housing_unit string-size string-= ( SW.filter entity-en.housing_unit string-posting_date string-= d0 )
e0 that allow dogs	SW.filter entity-en.housing_unit string-allows_dogs
what kind of housing is 800 square feet	SW.filter entity-en.housing SW.reverse string-housing_type string-= ( SW.filter entity-en.housing_unit string-size string-= number800 en.square_feet )
which area has the most number of housing units	SW.countSuperlative entity-en.housing_unit string-max string-neighborhood
housing that is more than 1500month or more than 2000month	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-rent  string-> ( SW.ensureNumericEntity SW.concat )
which housing units permit dogs and cats	SW.filter ( SW.filter entity-en.housing_unit string-allows_cats ) string-allows_dogs
which e0 housing have 800 square feet	SW.filter ( SW.filter entity-en.housing_unit string-size string-= number800 en.square_feet ) string-neighborhood string-= e0
housing units with a small amount of housing	SW.countSuperlative entity-en.housing_unit string-min string-housing_type
rent between 1500 and 2000 dollars	SW.concat
e0 are 1500	SW.filter ( SW.filter entity-en.housing_unit string-housing_type string-= e0 ) string-rent string-= number1500 en.dollar
what housing unit is the same type as the unit posted on jan 2	SW.filter entity-en.housing_unit string-housing_type string-= ( SW.filter entity-en.housing_unit string-posting_date string-= date:2015:1:2 )
what kind of housing was posted on d0	SW.filter entity-en.housing SW.reverse string-housing_type string-= ( SW.filter entity-en.housing_unit string-posting_date string-= d0 )
private room in e0	SW.filter ( SW.filter entity-en.housing_unit string-neighborhood string-= e0 ) string-has_private_room
unit smaller than e0	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-size  string-< ( SW.ensureNumericEntity SW.getProperty e0 string-size  )
housing units that have a private room that was posted on d0	SW.filter ( SW.filter entity-en.housing_unit string-has_private_room ) string-posting_date string-= d0
which housing unit is more expensive than e0	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-rent  string-> ( SW.ensureNumericEntity SW.getProperty e0 string-rent  )
what is units monthly rental	string-sum SW.getProperty entity-en.housing_unit string-rent
housing with a private room that posted on d0	SW.filter ( SW.filter entity-en.housing_unit string-has_private_room ) string-posting_date string-= d0
find housing units with a private room and is dog friendly	SW.filter ( SW.filter entity-en.housing_unit string-allows_dogs ) string-has_private_room
an e0 that was posted on d1	SW.filter ( SW.filter entity-en.housing_unit string-posting_date string-= d1 ) string-housing_type string-= e0
what housing unit was posted on jan 2	SW.filter entity-en.housing_unit string-posting_date string-= ( SW.filter entity-en.housing_unit string-posting_date string-= date:2015:1:2 )
which housing is no larger than e0	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-size  string-<= ( SW.ensureNumericEntity SW.getProperty e0 string-size  )
housing with more square footage than e0	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-size  string-> ( SW.ensureNumericEntity SW.getProperty e0 string-size  )
e0 in e0 with a rent of 1500 a month	SW.filter ( SW.filter entity-en.housing_unit string-neighborhood string-= e0 ) string-rent string-= number1500 en.dollar
housing that is the same rent as or cheaper than e0	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-rent  string-<= ( SW.ensureNumericEntity SW.getProperty e0 string-rent  )
e0 with rent above 1500	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-rent  string-> ( SW.ensureNumericEntity number1500 en.dollar )
which housing unit with an area of 800 square feet is available fora rent of 1500 dollars per month	SW.filter ( SW.filter entity-en.housing_unit string-size string-= number800 en.square_feet ) string-rent string-= number1500 en.dollar
housing that is more than 800 square feet	SW.filter entity-en.housing_unit string-size string-!= number800 en.square_feet
which housing posted jan 2nd at e0	SW.filter ( SW.filter entity-en.housing_unit string-posting_date string-= date:2015:1:2 ) SW.reverse string-posting_date string-= e0
housing type of more than two available housings	SW.countComparative entity-en.housing SW.reverse string-housing_type string-> number2 entity-en.housing_unit
find a housing unit posted on d0 and that has a private room	SW.filter ( SW.filter entity-en.housing_unit string-posting_date string-= d0 ) string-has_private_room
e0 with a private room	SW.filter ( SW.filter entity-en.housing_unit string-has_private_room ) string-has_private_room
which housing posted no earlier than jan 2nd or feb 3rd	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-posting_date  string->= ( SW.ensureNumericEntity SW.concat )
which housing unit resembles that of e0	SW.filter entity-en.housing_unit string-housing_type string-= SW.getProperty e0 string-housing_type
housing unit with same housing type as that of e0	SW.filter entity-en.housing_unit string-housing_type string-= SW.getProperty e0 string-housing_type
what are the neighborhoods of e0 and e1	SW.filter entity-en.neighborhood SW.reverse string-neighborhood string-= SW.concat
show me e0 with a private room	SW.filter ( SW.filter entity-en.housing_unit string-housing_type string-= e0 ) string-has_private_room
e0 for rent at 1500	SW.filter entity-en.housing_unit string-rent string-= number1500 en.dollar
cats allowed in e0	SW.filter ( SW.filter entity-en.housing_unit string-neighborhood string-= e0 ) string-allows_cats
what is the housing type number	.size entity-en.housing
housing types like e0 or e1	SW.filter entity-en.housing SW.reverse string-housing_type string-= SW.concat
what kind of housing has two housing types	SW.countComparative entity-en.housing_unit string-housing_type string->= number2
housing that is 1500month and 800 square feet	SW.filter ( SW.filter entity-en.housing_unit string-rent string-= number1500 en.dollar ) string-size string-= number800 en.square_feet
find housing units far from e0	SW.filter entity-en.housing_unit string-neighborhood string-!= e0
housing found in the most neighborhoods	SW.countSuperlative entity-en.housing_unit string-max string-neighborhood
what is the area of e0	SW.getProperty e0 string-size
find housing units with a private room	SW.filter ( SW.filter entity-en.housing_unit string-has_private_room ) string-has_private_room
d0 to d1	SW.concat
housing posted after e0	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-posting_date  string-> ( SW.ensureNumericEntity SW.getProperty e0 string-posting_date  )
e0 with a private room	SW.filter entity-en.housing SW.reverse string-housing_type string-= ( SW.filter entity-en.housing_unit string-has_private_room )
housing that is 800 square feet with a private bath	SW.filter ( SW.filter entity-en.housing_unit string-size string-= number800 en.square_feet ) string-has_private_bath
what kinds of housing has a private bath	SW.filter entity-en.housing SW.reverse string-housing_type string-= ( SW.filter entity-en.housing_unit string-has_private_bath )
what is the square footage of e0	SW.getProperty e0 string-size
housing that is 800 square feet and includes a private bah	SW.filter ( SW.filter entity-en.housing_unit string-has_private_bath ) string-size string-= number800 en.square_feet
find housing units posted before january 2nd	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-posting_date  string-<= ( SW.ensureNumericEntity date:2015:1:2 )
housing unit with a private room and bath	SW.filter ( SW.filter entity-en.housing_unit string-has_private_room ) string-has_private_bath
what is the housing type of the two housing units	SW.countComparative entity-en.housing SW.reverse string-housing_type string->= number2 entity-en.housing_unit
catfriendly e0 with a private room	SW.filter ( SW.filter entity-en.housing_unit string-allows_cats ) string-has_private_room
neighborhood where i can find housing with a private room	SW.filter entity-en.neighborhood SW.reverse string-neighborhood string-= ( SW.filter entity-en.housing_unit string-has_private_room )
show me housing whose rent is 1500 dollars and which provides a private bathroom	SW.filter ( SW.filter entity-en.housing_unit string-has_private_bath ) string-rent string-= number1500 en.dollar
e0 in the same neighborhood at e0	SW.filter entity-en.housing_unit string-neighborhood string-= SW.getProperty e0 string-neighborhood
which housing unit posted jan 2nd	SW.filter entity-en.housing_unit string-posting_date string-= date:2015:1:2
dogfriendly e0 with a private bathroom	SW.filter ( SW.filter entity-en.housing_unit string-has_private_bath ) string-allows_dogs
find 800 square feet housing units in the neighborhoods of e0	SW.filter ( SW.filter entity-en.housing_unit string-neighborhood string-= e0 ) string-size string-= number800 en.square_feet
what housing unit is the same size as the unit posted on jan 2	SW.filter entity-en.housing_unit string-size string-= ( SW.filter entity-en.housing_unit string-posting_date string-= date:2015:1:2 )
name the neighborhood of the housing unit with private bath	SW.filter entity-en.neighborhood SW.reverse string-neighborhood string-= ( SW.filter entity-en.housing_unit string-has_private_bath )
unit with rent between 15002000 dollars	SW.filter entity-en.housing_unit string-rent string-= SW.concat
e0 in a quiet neighborhood	SW.countSuperlative entity-en.housing_unit string-min string-neighborhood
housing that is 800 square feet and 1500month	SW.filter ( SW.filter entity-en.housing_unit string-size string-= number800 en.square_feet ) string-rent string-= number1500 en.dollar
most expensive places to rent	SW.superlative entity-en.housing_unit string-max SW.ensureNumericProperty string-rent
catfriendly e0 in e0	SW.filter ( SW.filter entity-en.housing_unit string-allows_cats ) string-neighborhood string-= e0
e0 with a private room in e0	SW.filter ( SW.filter entity-en.housing_unit string-neighborhood string-= e0 ) string-has_private_room
e0 with rent between 1500 and 2000	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-rent  string-< ( SW.ensureNumericEntity SW.concat )
private bath with 800 square feet	SW.filter ( SW.filter entity-en.housing_unit string-has_private_bath ) string-size string-= number800 en.square_feet
compare e0 and e1	SW.concat
which housing units in the neighbourhood permits dogs inside it	SW.filter entity-en.neighborhood SW.reverse string-neighborhood string-= ( SW.filter entity-en.housing_unit string-allows_dogs )
show me housing which have a private bathroom and allow cats	SW.filter ( SW.filter entity-en.housing_unit string-has_private_bath ) string-allows_cats
what housing units in the midtown east area also allow dogs	SW.filter ( SW.filter entity-en.housing_unit string-allows_dogs ) string-neighborhood string-= en.neighborhood.midtown_west
800 square foot dogfriendly e0	SW.filter ( SW.filter entity-en.housing_unit string-allows_dogs ) string-size string-= number800 en.square_feet
what is the date of e0 posting	SW.getProperty e0 string-posting_date
show only neighborhood units of 800 square feet	SW.filter entity-en.neighborhood SW.reverse string-neighborhood string-= ( SW.filter entity-en.housing_unit string-size string-= number800 en.square_feet )
which housing unit has  an area of 800 or 1000 square feet	SW.filter entity-en.housing_unit string-size string-= SW.concat
housing units with less than two nieghborhoods	SW.countComparative entity-en.housing_unit string-neighborhood string-< number2
unit of 800 square feet	SW.filter entity-en.housing SW.reverse string-housing_type string-= ( SW.filter entity-en.housing_unit string-size string-= number800 en.square_feet )
what is the kind of housing available in 123 sesamre street	SW.filter entity-en.housing SW.reverse string-housing_type string-= en.housing_unit.123_sesame_street
looking for housing that is either an e0 or e1	SW.filter entity-en.housing_unit string-housing_type string-= SW.concat
what neighborhood is the housing unit in that was posted d0	SW.filter entity-en.housing_unit string-neighborhood string-= ( SW.filter entity-en.housing_unit string-posting_date string-= d0 )
e0 with at least 2 units	SW.countComparative entity-en.housing SW.reverse string-housing_type string->= number2 entity-en.housing_unit
e0 in e0 with a private room	SW.filter ( SW.filter entity-en.housing_unit string-has_private_room ) string-neighborhood string-= e0
what housing unit was posted on jan 2 or feb 3	SW.filter entity-en.housing_unit string-posting_date string-= SW.concat
which area has less than two housing units	SW.countComparative entity-en.housing_unit string-neighborhood string-< number2
find housing units with monthly not equal to 1500 dollars	SW.filter entity-en.housing_unit string-rent string-!= number1500 en.dollar
find housing units with 1500 dollars as rent and is near e0	SW.filter ( SW.filter entity-en.housing_unit string-rent string-= number1500 en.dollar ) string-neighborhood string-= e0
what is the house number of the e0	.size entity-en.housing_unit
what housing unit posted on jan 2 is the same size as e0	SW.filter ( SW.filter entity-en.housing_unit string-posting_date string-= date:2015:1:2 ) SW.reverse string-size string-= e0
housing posted on d0 or d1	SW.filter entity-en.housing_unit string-posting_date string-= SW.concat
find housing that is an e0	SW.filter ( SW.filter entity-en.housing_unit string-housing_type string-= e0 ) string-housing_type string-= e0
housing units who have a posting date of january 2nd and on e0	SW.filter ( SW.filter entity-en.housing_unit string-posting_date string-= date:2015:1:2 ) SW.reverse string-size string-= e0
e0 that are smaller than e0	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-size  string-< ( SW.ensureNumericEntity SW.getProperty e0 string-size  )
find e0 with a private bath	SW.filter ( SW.filter entity-en.housing_unit string-housing_type string-= e0 ) string-has_private_bath
housing that includes two units	SW.countComparative entity-en.housing SW.reverse string-housing_type string-= number2 entity-en.housing_unit
list all housing that have the size of 800 or 1000 square feet	SW.concat
what 800 square housing allows dogs	SW.filter ( SW.filter entity-en.housing_unit string-allows_dogs ) string-size string-= number800 en.square_feet
what housing unit is in two neighborhoods	SW.countComparative entity-en.housing_unit string-neighborhood string-= number2
neighborhood of housing unit whose monthly rent is 1500 dollars	SW.filter entity-en.neighborhood SW.reverse string-neighborhood string-= ( SW.filter entity-en.housing_unit string-rent string-= number1500 en.dollar )
find pet friendly housing units that charge 1500 dollars as rent	SW.filter ( SW.filter entity-en.housing_unit string-rent string-= number1500 en.dollar ) string-allows_dogs
housing that costs the same as e0	SW.filter entity-en.housing_unit string-rent string-= SW.getProperty e0 string-rent
what kind of housing is e0	SW.filter entity-en.housing SW.reverse string-housing_type string-= e0
quiet e0	SW.countComparative entity-en.housing_unit string-neighborhood string-< number2
which housing with a private room rents for 1500 dollar monthly	SW.filter ( SW.filter entity-en.housing_unit string-has_private_room ) string-rent string-= number1500 en.dollar
e0 in e1	SW.filter ( SW.filter entity-en.housing_unit string-housing_type string-= e0 ) string-neighborhood string-= e1
housing unit with the largest posting date	SW.superlative entity-en.housing_unit string-max SW.ensureNumericProperty string-posting_date
housing listed in the fewest neighborhoods	SW.countSuperlative entity-en.housing_unit string-min string-neighborhood
e0 with private bath	SW.filter ( SW.filter entity-en.housing_unit string-has_private_bath ) string-housing_type string-= e0
housing units with a private bath	SW.filter entity-en.housing_unit string-has_private_bath
housing that is over 800 square feet or over 1000 square feet	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-size  string-> ( SW.ensureNumericEntity SW.concat )
what is the average price of e0	string-avg SW.getProperty entity-en.housing_unit string-rent
housing that ranges between 800 and 1000 square feet	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-size  string-<= ( SW.ensureNumericEntity SW.concat )
neighborhood that has at least 2 e0	SW.countComparative entity-en.neighborhood SW.reverse string-neighborhood string->= number2 entity-en.housing_unit
catfriendly housing with a private bath	SW.filter ( SW.filter entity-en.housing_unit string-has_private_bath ) string-allows_cats
which housing offers less than two kinds of units	SW.countComparative entity-en.housing_unit string-housing_type string-< number2
find cat friendly housing units with a private room	SW.filter ( SW.filter entity-en.housing_unit string-has_private_room ) string-allows_cats
seeking houses in quiet neighborhoods	SW.countSuperlative entity-en.housing_unit string-min string-housing_type
housing that is beetween 800 and 1000 square feet	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-size  string->= ( SW.ensureNumericEntity SW.concat )
housing units that are at least the same square footage as the housing unit on e0	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-size  string->= ( SW.ensureNumericEntity SW.getProperty e0 string-size  )
what is the housing type of the housing unit that allows dogs	SW.filter entity-en.housing SW.reverse string-housing_type string-= ( SW.filter entity-en.housing_unit string-allows_dogs )
show me housing available for 1500 dollars a month or less	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-rent  string-<= ( SW.ensureNumericEntity number1500 en.dollar )
housing unit that is 800 or 1000 square feet	SW.filter entity-en.housing_unit string-size string-= SW.concat
e0 between 800 and 1000 square feet	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-size  string-<= ( SW.ensureNumericEntity SW.concat )
find all units available midtown east	SW.filter entity-en.housing_unit string-neighborhood string-= en.neighborhood.midtown_west
housing unit with posting date less than that of e0	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-posting_date  string-< ( SW.ensureNumericEntity SW.getProperty e0 string-posting_date  )
which housing unit resembles e0 or e1	SW.filter entity-en.housing SW.reverse string-housing_type string-= SW.concat
housing that is 1500month or less or 2000month or less	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-rent  string-<= ( SW.ensureNumericEntity SW.concat )
dogfriendly housing	SW.filter ( SW.filter entity-en.housing_unit string-allows_dogs ) string-allows_dogs
a housing unit posted on d0 in any neighborhood	SW.filter entity-en.housing_unit string-neighborhood string-= ( SW.filter entity-en.housing_unit string-posting_date string-= d0 )
find housing units in the neighborhoods of e0 with 1500 dollars as monthly rent	SW.filter ( SW.filter entity-en.housing_unit string-neighborhood string-= e0 ) string-rent string-= number1500 en.dollar
which 1500monthly rentals are dogfriendly	SW.filter ( SW.filter entity-en.housing_unit string-allows_dogs ) string-rent string-= number1500 en.dollar
housing unit with a private room in e0	SW.filter ( SW.filter entity-en.housing_unit string-neighborhood string-= e0 ) string-has_private_room
housing that allows dogs	SW.filter entity-en.housing SW.reverse string-housing_type string-= ( SW.filter entity-en.housing_unit string-allows_dogs )
which housing unit with an area of 800 square permits dogs	SW.filter ( SW.filter entity-en.housing_unit string-size string-= number800 en.square_feet ) string-allows_dogs
housing units that allow cats in e0	SW.filter ( SW.filter entity-en.housing_unit string-neighborhood string-= e0 ) string-allows_cats
800 square foot e0 with rent at 1500 a month	SW.filter ( SW.filter entity-en.housing_unit string-size string-= number800 en.square_feet ) string-rent string-= number1500 en.dollar
what kind of housing is in e0	SW.filter entity-en.housing SW.reverse string-housing_type string-= ( SW.filter entity-en.housing_unit string-neighborhood string-= e0 )
housing unit with size of either 800 or 1000 square feet	SW.filter entity-en.housing_unit string-size string-= SW.concat
which housing unit was posted before jan 2	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-posting_date  string-< ( SW.ensureNumericEntity date:2015:1:2 )
a housing unit that was posted on d0	SW.filter entity-en.housing_unit string-housing_type string-= ( SW.filter entity-en.housing_unit string-posting_date string-= d0 )
find housing similar to the house located at e0	SW.filter entity-en.housing_unit string-housing_type string-= ( SW.filter entity-en.housing SW.reverse string-housing_type string-= e0 )
which housing unit permits cats and had a private bath in it	SW.filter ( SW.filter entity-en.housing_unit string-allows_cats ) string-has_private_bath
what is the phone number of this e0 complex	.size entity-en.housing
what is the average size of housing	string-avg SW.getProperty entity-en.housing_unit string-size
housing posted in a neighborhood on d0	SW.filter entity-en.neighborhood SW.reverse string-neighborhood string-= ( SW.filter entity-en.housing_unit string-posting_date string-= d0 )
find all 800 square foot units with private baths	SW.filter ( SW.filter entity-en.housing_unit string-has_private_bath ) string-size string-= number800 en.square_feet
housing that allows dogs that posted on d0	SW.filter ( SW.filter entity-en.housing_unit string-posting_date string-= d0 ) string-allows_dogs
e0 with a private bathroom	SW.filter ( SW.filter entity-en.housing_unit string-housing_type string-= e0 ) string-has_private_bath
how  many neighbourhoods are there	.size entity-en.neighborhood
a housing unit in e0 that was posted on d1	SW.filter ( SW.filter entity-en.housing_unit string-neighborhood string-= e0 ) string-posting_date string-= d1
which kind of housing is available for a rent of 1500 dollars per month	SW.filter entity-en.housing SW.reverse string-housing_type string-= ( SW.filter entity-en.housing_unit string-rent string-= number1500 en.dollar )
catfriendly housing with a private room	SW.filter ( SW.filter entity-en.housing_unit string-allows_cats ) string-has_private_room
e0 that was posted on d1	SW.filter ( SW.filter entity-en.housing_unit string-posting_date string-= d1 ) string-housing_type string-= e0
what neighborhood is the housing unit in that was posted on d0	SW.filter entity-en.neighborhood SW.reverse string-neighborhood string-= ( SW.filter entity-en.housing_unit string-posting_date string-= d0 )
what housing unit contains a private bath	SW.filter entity-en.housing_unit string-has_private_bath
e0 type housing unit that has private bath	SW.filter ( SW.filter entity-en.housing_unit string-has_private_bath ) string-housing_type string-= e0
housing unit in e0 that has monthly rent of 1500	SW.filter ( SW.filter entity-en.housing_unit string-rent string-= number1500 en.dollar ) string-neighborhood string-= e0
housing that is 800 square feet or bigger	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-size  string->= ( SW.ensureNumericEntity number800 en.square_feet )
find all housing units posted on d0	SW.filter entity-en.housing SW.reverse string-housing_type string-= ( SW.filter entity-en.housing_unit string-posting_date string-= d0 )
name housing types that has more than one housing unit of that type	SW.countComparative entity-en.housing SW.reverse string-housing_type string->= number2 entity-en.housing_unit
e0 that were posted on d1	SW.filter ( SW.filter entity-en.housing_unit string-housing_type string-= e0 ) string-posting_date string-= d1
e0 with a private room	SW.filter ( SW.filter entity-en.housing_unit string-housing_type string-= e0 ) string-has_private_room
housing with with largest posting date	SW.superlative entity-en.housing_unit string-max SW.ensureNumericProperty string-posting_date
dogfriendly 800 square foot e0	SW.filter ( SW.filter entity-en.housing_unit string-size string-= number800 en.square_feet ) string-allows_dogs
show me housing with 800 square feet of space where cats are acceptable	SW.filter ( SW.filter entity-en.housing_unit string-allows_cats ) string-size string-= number800 en.square_feet
find housing types other than e0	SW.filter entity-en.housing SW.reverse string-housing_type string-!= e0
housing with a master bedroom and private bath	SW.filter ( SW.filter entity-en.housing_unit string-has_private_bath ) string-has_private_room
find a housing unit that is in two neighborhoods	SW.countComparative entity-en.housing_unit string-neighborhood string-= number2
housing in e0 that posted on d1	SW.filter ( SW.filter entity-en.housing_unit string-posting_date string-= d1 ) string-neighborhood string-= e0
list all e0 in e1	SW.filter ( SW.filter entity-en.housing_unit string-housing_type string-= e0 ) string-neighborhood string-= e1
neighborhood with e0	SW.filter entity-en.neighborhood SW.reverse string-neighborhood string-= ( SW.filter entity-en.housing_unit string-housing_type string-= e0 )
what size is the housing unit posted on d0	SW.filter entity-en.housing_unit string-size string-= ( SW.filter entity-en.housing_unit string-posting_date string-= d0 )
show me housing which posted on or before the day e0 did	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-posting_date  string-<= ( SW.ensureNumericEntity SW.getProperty e0 string-posting_date  )
what housing unit with a private bath was posted on jan 2	SW.filter ( SW.filter entity-en.housing_unit string-posting_date string-= date:2015:1:2 ) string-has_private_bath
housing with fewer than two units	SW.countComparative entity-en.housing SW.reverse string-housing_type string-< number2 entity-en.housing_unit
e0 with a private bathroom that allow cats	SW.filter ( SW.filter entity-en.housing_unit string-has_private_room ) string-allows_cats
find housing larger than e0	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-size  string-> ( SW.ensureNumericEntity SW.getProperty e0 string-size  )
what housing unit in e0 was posted on jan 2	SW.filter ( SW.filter entity-en.housing_unit string-neighborhood string-= e0 ) string-posting_date string-= date:2015:1:2
